Company,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,name,mileage_category,km_Driven_category
Ford,2019,950000,20000,Diesel,Individual,Manual,"First Owner",23,1498,98.96,205,5,"Ford EcoSport 1.5 Diesel Titanium Plus BSIV",High,"Between 10k and 100k"
Ford,2019,900000,35000,Diesel,Individual,Manual,"First Owner",23,1498,98.96,205,5,"Ford EcoSport 1.5 Diesel Trend BSIV",High,"Between 10k and 100k"
Ford,2019,869999,40000,Diesel,Individual,Manual,"First Owner",23,1498,98.96,205,5,"Ford EcoSport 1.5 Diesel Trend Plus BSIV",High,"Between 10k and 100k"
Ford,2019,885000,10000,Petrol,Individual,Manual,"Second Owner",17,1497,121.31,150,5,"Ford EcoSport 1.5 Petrol Titanium BSIV",Average,"Between 10k and 100k"
Ford,2019,1145000,20000,Diesel,Individual,Manual,"First Owner",23,1498,98.96,205,5,"Ford EcoSport S Diesel BSIV",High,"Between 10k and 100k"
Ford,2019,675000,2789,Petrol,Dealer,Manual,"First Owner",18,1196,86.8,112,5,"Ford Figo 1.2P Titanium MT",Average,"Less than 10k"
Ford,2019,530000,9500,Petrol,Individual,Manual,"First Owner",18,1196,86.8,112,5,"Ford Figo 1.2P Titanium MT",Average,"Less than 10k"
Ford,2019,530000,9500,Petrol,Individual,Manual,"First Owner",18,1196,86.8,112,5,"Ford Figo 1.2P Titanium MT",Average,"Less than 10k"
Ford,2019,700000,3177,Petrol,Dealer,Manual,"First Owner",19,1194,94.93,119,5,"Ford Figo Titanium Blu",Average,"Less than 10k"
Ford,2019,725000,17000,Diesel,Individual,Manual,"First Owner",24,1498,98.63,215,5,"Ford Freestyle Titanium Diesel BSIV",High,"Between 10k and 100k"
Ford,2019,720000,10000,Petrol,Individual,Manual,"First Owner",19,1194,94.68,120,5,"Ford Freestyle Titanium Petrol BSIV",Average,"Between 10k and 100k"
Ford,2019,700000,6000,Petrol,Individual,Manual,"First Owner",19,1194,94.68,120,5,"Ford Freestyle Titanium Plus Petrol BSIV",Average,"Less than 10k"
Ford,2019,681000,10000,Petrol,Individual,Manual,"First Owner",19,1194,94.68,120,5,"Ford Freestyle Trend Petrol BSIV",Average,"Between 10k and 100k"
Honda,2019,700000,40000,Diesel,Individual,Automatic,"First Owner",24,1498,78.9,160,5,"Honda Amaze S CVT Diesel BSIV",High,"Between 10k and 100k"
Honda,2019,700000,40000,Diesel,Individual,Automatic,"First Owner",24,1498,78.9,160,5,"Honda Amaze S CVT Diesel BSIV",High,"Between 10k and 100k"
Honda,2019,680000,15000,Petrol,Individual,Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze S CVT Petrol BSIV",Average,"Between 10k and 100k"
Honda,2019,690000,1303,Petrol,Dealer,Manual,"First Owner",18,1198,86.7,109,5,"Honda Amaze S i-VTEC",Average,"Less than 10k"
Honda,2019,690000,1303,Petrol,Dealer,Manual,"First Owner",18,1198,86.7,109,5,"Honda Amaze S i-VTEC",Average,"Less than 10k"
Honda,2019,690000,1303,Petrol,Dealer,Manual,"First Owner",18,1198,86.7,109,5,"Honda Amaze S i-VTEC",Average,"Less than 10k"
Honda,2019,690000,1303,Petrol,Dealer,Manual,"First Owner",18,1198,86.7,109,5,"Honda Amaze S i-VTEC",Average,"Less than 10k"
Honda,2019,690000,1303,Petrol,Dealer,Manual,"First Owner",18,1198,86.7,109,5,"Honda Amaze S i-VTEC",Average,"Less than 10k"
Honda,2019,670000,5000,Petrol,Individual,Manual,"First Owner",20,1199,88.76,110,5,"Honda Amaze S Petrol BSIV",Average,"Less than 10k"
Honda,2019,640000,6000,Petrol,Individual,Manual,"First Owner",20,1199,88.76,110,5,"Honda Amaze S Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,779000,7032,Petrol,"Trustmark Dealer",Automatic,"First Owner",19,1199,88.76,110,5,"Honda Amaze V CVT Petrol BSIV",Average,"Less than 10k"
Honda,2019,700000,4500,Petrol,Individual,Manual,"First Owner",20,1199,88.76,110,5,"Honda Amaze V Petrol BSIV",Average,"Less than 10k"
Honda,2019,700000,4500,Petrol,Individual,Manual,"First Owner",20,1199,88.76,110,5,"Honda Amaze V Petrol BSIV",Average,"Less than 10k"
Honda,2019,800000,10000,Diesel,Individual,Manual,"First Owner",27,1498,98.63,200,5,"Honda Amaze VX Diesel BSIV",High,"Between 10k and 100k"
Honda,2019,670000,20000,Petrol,Individual,Manual,"First Owner",20,1199,88.76,110,5,"Honda Amaze VX Petrol BSIV",Average,"Between 10k and 100k"
Honda,2019,1100000,50000,Diesel,Individual,Manual,"Second Owner",22,1498,98.6,200,7,"Honda BRV i-DTEC V MT",High,"Between 10k and 100k"
Honda,2019,1200000,40000,Diesel,Individual,Manual,"First Owner",26,1498,97.9,200,5,"Honda City i-DTEC V",High,"Between 10k and 100k"
Honda,2019,1110000,10500,Diesel,Individual,Manual,"First Owner",26,1498,97.9,200,5,"Honda City i-DTEC VX",High,"Between 10k and 100k"
Honda,2019,1227000,5000,Petrol,Individual,Automatic,"First Owner",18,1497,117.6,145,5,"Honda City i-VTEC CVT ZX",Average,"Less than 10k"
Honda,2019,1227000,5000,Petrol,Individual,Automatic,"First Owner",18,1497,117.6,145,5,"Honda City i-VTEC CVT ZX",Average,"Less than 10k"
Honda,2019,1300000,20000,Petrol,Individual,Automatic,"First Owner",17,1497,117.6,145,5,"Honda City VX CVT",Average,"Between 10k and 100k"
Honda,2019,2000000,24857,Petrol,Dealer,Automatic,"Test Drive Car",17,1799,139.46,174,5,"Honda Civic ZX",Average,"Between 10k and 100k"
Honda,2019,840000,1500,Petrol,Individual,Automatic,"First Owner",18,1199,88.7,110,5,"Honda Jazz VX CVT",Average,"Less than 10k"
Honda,2019,750000,3100,Petrol,Individual,Automatic,"First Owner",18,1199,88.7,110,5,"Honda Jazz VX CVT",Average,"Less than 10k"
Honda,2019,840000,1500,Petrol,Individual,Automatic,"First Owner",18,1199,88.7,110,5,"Honda Jazz VX CVT",Average,"Less than 10k"
Honda,2019,1000000,72000,Diesel,Individual,Manual,"First Owner",26,1498,98.6,200,5,"Honda WR-V i-DTEC VX",High,"Between 10k and 100k"
Honda,2019,580000,35000,Petrol,Individual,Manual,"First Owner",18,1199,88.7,110,5,"Honda WR-V i-VTEC VX",Average,"Between 10k and 100k"
Honda,2019,580000,35000,Petrol,Individual,Manual,"First Owner",18,1199,88.7,110,5,"Honda WR-V i-VTEC VX",Average,"Between 10k and 100k"
Hyundai,2019,1050000,27000,Diesel,Individual,Manual,"First Owner",21,1396,88.7,219,5,"Hyundai Creta 1.4 CRDi S",High,"Between 10k and 100k"
Hyundai,2019,950000,15000,Diesel,Individual,Manual,"First Owner",22,1396,88.7,219,5,"Hyundai Creta 1.4 E Plus",High,"Between 10k and 100k"
Hyundai,2019,990000,19600,Diesel,Individual,Manual,"First Owner",22,1396,88.7,219,5,"Hyundai Creta 1.4 E Plus",High,"Between 10k and 100k"
Hyundai,2019,1000000,15000,Diesel,Individual,Manual,"First Owner",22,1396,88.7,219,5,"Hyundai Creta 1.4 EX Diesel",High,"Between 10k and 100k"
Hyundai,2019,1150000,31000,Petrol,Dealer,Manual,"First Owner",16,1591,121.3,151,5,"Hyundai Creta 1.6 SX Option",Average,"Between 10k and 100k"
Hyundai,2019,800000,35000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,117,5,"Hyundai Elite i20 Asta Option BSIV",Average,"Between 10k and 100k"
Hyundai,2019,850000,10000,Diesel,Individual,Manual,"First Owner",23,1396,88.76,224,5,"Hyundai Elite i20 Asta Option Diesel",High,"Between 10k and 100k"
Hyundai,2019,811000,43000,Diesel,Individual,Manual,"First Owner",23,1396,88.76,224,5,"Hyundai Elite i20 Asta Option Diesel",High,"Between 10k and 100k"
Hyundai,2019,700000,60000,Diesel,Individual,Manual,"First Owner",23,1396,88.76,219,5,"Hyundai Elite i20 Diesel Sportz",High,"Between 10k and 100k"
Hyundai,2019,610000,2000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,117,5,"Hyundai Elite i20 Magna Plus BSIV",Average,"Less than 10k"
Hyundai,2019,600000,10000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,117,5,"Hyundai Elite i20 Magna Plus BSIV",Average,"Between 10k and 100k"
Hyundai,2019,650000,3500,Petrol,Individual,Manual,"First Owner",19,1197,81.86,117,5,"Hyundai Elite i20 Magna Plus BSIV",Average,"Less than 10k"
Hyundai,2019,630000,5000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,117,5,"Hyundai Elite i20 Magna Plus BSIV",Average,"Less than 10k"
Hyundai,2019,625000,12500,Petrol,Individual,Manual,"First Owner",19,1197,81.86,117,5,"Hyundai Elite i20 Magna Plus BSIV",Average,"Between 10k and 100k"
Hyundai,2019,700000,17000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,114,5,"Hyundai Elite i20 Petrol Asta",Average,"Between 10k and 100k"
Hyundai,2019,750000,30000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,114,5,"Hyundai Elite i20 Petrol Asta Option",Average,"Between 10k and 100k"
Hyundai,2019,690000,18000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,114,5,"Hyundai Elite i20 Petrol Asta Option",Average,"Between 10k and 100k"
Hyundai,2019,585000,80000,Petrol,Individual,Automatic,"First Owner",17,1197,81.86,114,5,"Hyundai Elite i20 Petrol CVT Magna Executive",Average,"Between 10k and 100k"
Hyundai,2019,590000,10000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,114,5,"Hyundai Elite i20 Petrol Magna Exective",Average,"Between 10k and 100k"
Hyundai,2019,667000,7500,Petrol,Individual,Manual,"First Owner",19,1197,81.86,114,5,"Hyundai Elite i20 Petrol Sportz",Average,"Less than 10k"
Hyundai,2019,693000,4000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,117,5,"Hyundai Elite i20 Sportz Plus BSIV",Average,"Less than 10k"
Hyundai,2019,700000,19000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,117,5,"Hyundai Elite i20 Sportz Plus BSIV",Average,"Between 10k and 100k"
Hyundai,2019,720000,16000,Petrol,Individual,Automatic,"First Owner",17,1197,81.86,117,5,"Hyundai Elite i20 Sportz Plus CVT BSIV",Average,"Between 10k and 100k"
Hyundai,2019,695000,20000,Petrol,Individual,Automatic,"First Owner",17,1197,81.86,117,5,"Hyundai Elite i20 Sportz Plus CVT BSIV",Average,"Between 10k and 100k"
Hyundai,2019,834000,13000,Diesel,Individual,Manual,"First Owner",23,1396,88.76,224,5,"Hyundai Elite i20 Sportz Plus Diesel",High,"Between 10k and 100k"
Hyundai,2019,685000,4300,Petrol,Dealer,Manual,"First Owner",19,1197,81.86,117,5,"Hyundai Elite i20 Sportz Plus Dual Tone BSIV",Average,"Less than 10k"
Hyundai,2019,750000,20000,Diesel,Individual,Manual,"First Owner",24,1186,73.97,190,5,"Hyundai Grand i10 1.2 CRDi Asta",High,"Between 10k and 100k"
Hyundai,2019,700000,10000,Diesel,Individual,Manual,"First Owner",24,1186,73.97,190,5,"Hyundai Grand i10 1.2 CRDi Asta",High,"Between 10k and 100k"
Hyundai,2019,550000,28000,Petrol,Individual,Automatic,"First Owner",19,1197,81.86,113,5,"Hyundai Grand i10 1.2 Kappa Magna AT",Average,"Between 10k and 100k"
Hyundai,2019,550000,15000,Petrol,Individual,Automatic,"First Owner",19,1197,81.86,113,5,"Hyundai Grand i10 1.2 Kappa Magna AT",Average,"Between 10k and 100k"
Hyundai,2019,567000,7000,Petrol,Individual,Automatic,"First Owner",19,1197,81.86,113,5,"Hyundai Grand i10 1.2 Kappa Magna AT",Average,"Less than 10k"
Hyundai,2019,600000,20000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,113,5,"Hyundai Grand i10 1.2 Kappa Sportz BSIV",Average,"Between 10k and 100k"
Hyundai,2019,550000,15000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,113,5,"Hyundai Grand i10 1.2 Kappa Sportz BSIV",Average,"Between 10k and 100k"
Hyundai,2019,570000,13000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,113,5,"Hyundai Grand i10 1.2 Kappa Sportz BSIV",Average,"Between 10k and 100k"
Hyundai,2019,562000,5000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,113,5,"Hyundai Grand i10 1.2 Kappa Sportz BSIV",Average,"Less than 10k"
Hyundai,2019,550000,10000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,113,5,"Hyundai Grand i10 1.2 Kappa Sportz BSIV",Average,"Between 10k and 100k"
Hyundai,2019,488999,15000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,113,5,"Hyundai Grand i10 1.2 Kappa Sportz BSIV",Average,"Between 10k and 100k"
Hyundai,2019,585000,8000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,113,5,"Hyundai Grand i10 1.2 Kappa Sportz Dual Tone",Average,"Less than 10k"
Hyundai,2019,640000,10000,Petrol,Individual,Manual,"First Owner",19,1197,81.86,113,5,"Hyundai Grand i10 1.2 Kappa Sportz Dual Tone",Average,"Between 10k and 100k"
Hyundai,2019,625000,4337,Petrol,Dealer,Automatic,"First Owner",19,1197,82,114,5,"Hyundai Grand i10 Magna AT",Average,"Less than 10k"
Hyundai,2019,625000,4337,Petrol,Dealer,Automatic,"First Owner",19,1197,82,114,5,"Hyundai Grand i10 Magna AT",Average,"Less than 10k"
Hyundai,2019,550000,4701,Petrol,"Trustmark Dealer",Manual,"First Owner",21,1197,81.86,113,5,"Hyundai Grand i10 Nios Sportz",High,"Less than 10k"
Hyundai,2019,721000,9400,Petrol,Dealer,Manual,"First Owner",19,1197,81.83,114,5,"Hyundai i20 1.2 Asta",Average,"Less than 10k"
Hyundai,2019,800000,5000,Petrol,Individual,Manual,"First Owner",17,1197,81.86,114,5,"Hyundai i20 Active S Petrol",Average,"Less than 10k"
Hyundai,2019,620000,13000,Petrol,Individual,Manual,"First Owner",17,1197,81.86,114,5,"Hyundai i20 Active S Petrol",Average,"Between 10k and 100k"
Hyundai,2019,650000,10000,Petrol,Individual,Manual,"First Owner",17,1197,81.86,114,5,"Hyundai i20 Active SX Petrol",Average,"Between 10k and 100k"
Hyundai,2019,700000,20000,Petrol,Individual,Manual,"First Owner",17,1197,81.86,114,5,"Hyundai i20 Active SX Petrol",Average,"Between 10k and 100k"
Hyundai,2019,785000,9000,Petrol,Dealer,Manual,"First Owner",19,1197,81.83,114,5,"Hyundai i20 Asta Option 1.2",Average,"Less than 10k"
Hyundai,2019,399000,4000,Petrol,Individual,Manual,"First Owner",20,1086,68,99,5,"Hyundai Santro Era",Average,"Less than 10k"
Hyundai,2019,420000,20000,Petrol,Individual,Manual,"Second Owner",20,1086,68,99,5,"Hyundai Santro Era",Average,"Between 10k and 100k"
Hyundai,2019,425000,15000,Petrol,Individual,Manual,"First Owner",20,1086,68,99,5,"Hyundai Santro Era",Average,"Between 10k and 100k"
Hyundai,2019,420000,30000,Petrol,Individual,Manual,"First Owner",20,1086,68,99,5,"Hyundai Santro Era",Average,"Between 10k and 100k"
Hyundai,2019,434999,19500,Petrol,Dealer,Manual,"First Owner",20,1086,68.07,99,5,"Hyundai Santro Magna",Average,"Between 10k and 100k"
Hyundai,2019,434999,19500,Petrol,Dealer,Manual,"First Owner",20,1086,68.07,99,5,"Hyundai Santro Magna",Average,"Between 10k and 100k"
Hyundai,2019,499000,5000,Petrol,Individual,Automatic,"First Owner",20,1086,68,99,5,"Hyundai Santro Magna AMT BSIV",Average,"Less than 10k"
Hyundai,2019,450000,10000,Petrol,Individual,Manual,"First Owner",20,1086,68,99,5,"Hyundai Santro Magna BSIV",Average,"Between 10k and 100k"
Hyundai,2019,500000,5000,Petrol,Individual,Manual,"First Owner",20,1086,68,99,5,"Hyundai Santro Magna BSIV",Average,"Less than 10k"
Hyundai,2019,500000,5000,Petrol,Individual,Manual,"First Owner",20,1086,68,99,5,"Hyundai Santro Magna BSIV",Average,"Less than 10k"
Hyundai,2019,466000,25000,Petrol,Individual,Automatic,"Fourth & Above Owner",20,1086,68,99,5,"Hyundai Santro Sportz AMT BSIV",Average,"Between 10k and 100k"
Hyundai,2019,521000,3010,Petrol,Individual,Automatic,"First Owner",20,1086,68,99,5,"Hyundai Santro Sportz AMT BSIV",Average,"Less than 10k"
Hyundai,2019,466000,25000,Petrol,Individual,Automatic,"Fourth & Above Owner",20,1086,68,99,5,"Hyundai Santro Sportz AMT BSIV",Average,"Between 10k and 100k"
Hyundai,2019,458000,30000,Petrol,Individual,Manual,"First Owner",20,1086,68,99,5,"Hyundai Santro Sportz BSIV",Average,"Between 10k and 100k"
Hyundai,2019,509999,5000,Petrol,Individual,Manual,"First Owner",20,1086,68,99,5,"Hyundai Santro Sportz BSIV",Average,"Less than 10k"
Hyundai,2019,430000,18500,Petrol,Individual,Manual,"First Owner",20,1086,68,99,5,"Hyundai Santro Sportz BSIV",Average,"Between 10k and 100k"
Hyundai,2019,1150000,2286,Petrol,"Trustmark Dealer",Automatic,"First Owner",18,998,118.35,171,5,"Hyundai Venue SX Plus Dual Tone Turbo DCT",Average,"Less than 10k"
Hyundai,2019,1125000,3500,Petrol,Dealer,Automatic,"First Owner",18,998,118.35,171,5,"Hyundai Venue SX Plus Turbo DCT BSIV",Average,"Less than 10k"
Hyundai,2019,1125000,3500,Petrol,Dealer,Automatic,"First Owner",18,998,118.35,171,5,"Hyundai Venue SX Plus Turbo DCT BSIV",Average,"Less than 10k"
Hyundai,2019,960000,20000,Diesel,Individual,Manual,"First Owner",24,1396,88.76,219,5,"Hyundai Verna CRDi 1.4 EX",High,"Between 10k and 100k"
Hyundai,2019,1200000,20000,Diesel,Individual,Automatic,"First Owner",22,1582,126.2,259,5,"Hyundai Verna CRDi 1.6 AT SX Option",High,"Between 10k and 100k"
Hyundai,2019,1200000,40000,Diesel,Individual,Manual,"First Owner",22,1582,126.2,259,5,"Hyundai Verna CRDi 1.6 SX Option",High,"Between 10k and 100k"
Hyundai,2019,1270000,20000,Petrol,Individual,Automatic,"First Owner",17,1591,121.3,151,5,"Hyundai Verna VTVT 1.6 AT SX Option",Average,"Between 10k and 100k"
Hyundai,2019,990000,15000,Petrol,Individual,Manual,"First Owner",17,1591,121.3,151,5,"Hyundai Verna VTVT 1.6 SX",Average,"Between 10k and 100k"
Hyundai,2019,1149000,5000,Petrol,Individual,Manual,"First Owner",17,1591,121.3,151,5,"Hyundai Verna VTVT 1.6 SX Option",Average,"Less than 10k"
Hyundai,2019,1100000,10000,Petrol,Individual,Manual,"First Owner",17,1591,121.3,151,5,"Hyundai Verna VTVT 1.6 SX Option",Average,"Between 10k and 100k"
Hyundai,2019,1149000,5000,Petrol,Individual,Manual,"First Owner",17,1591,121.3,151,5,"Hyundai Verna VTVT 1.6 SX Option",Average,"Less than 10k"
Hyundai,2019,700000,3000,Diesel,Individual,Manual,"First Owner",25,1186,73.97,190,5,"Hyundai Xcent 1.2 CRDi S",High,"Less than 10k"
Hyundai,2019,525000,100000,Petrol,Individual,Manual,"First Owner",20,1197,81.86,113,5,"Hyundai Xcent 1.2 VTVT E",Average,"Between 10k and 100k"
Hyundai,2019,500000,60000,Petrol,Individual,Manual,"First Owner",20,1197,81.86,113,5,"Hyundai Xcent 1.2 VTVT E",Average,"Between 10k and 100k"
Hyundai,2019,590000,90000,Petrol,Individual,Manual,"First Owner",20,1197,81.86,113,5,"Hyundai Xcent 1.2 VTVT S",Average,"Between 10k and 100k"
Hyundai,2019,509999,40000,Petrol,Individual,Manual,"First Owner",20,1197,81.86,113,5,"Hyundai Xcent 1.2 VTVT S",Average,"Between 10k and 100k"
Hyundai,2019,550000,3000,Petrol,Individual,Manual,"First Owner",20,1197,81.86,113,5,"Hyundai Xcent 1.2 VTVT S",Average,"Less than 10k"
Hyundai,2019,570000,15000,Petrol,Individual,Manual,"First Owner",20,1197,81.86,113,5,"Hyundai Xcent 1.2 VTVT SX",Average,"Between 10k and 100k"
Isuzu,2019,1900000,30000,Diesel,Individual,Automatic,"First Owner",12,1999,147.9,350,5,"Isuzu D-Max V-Cross Z Prestige",Average,"Between 10k and 100k"
Isuzu,2019,2700000,10000,Diesel,Individual,Automatic,"First Owner",14,2999,174.57,380,7,"Isuzu MUX 2WD",Average,"Between 10k and 100k"
Isuzu,2019,2700000,10000,Diesel,Individual,Automatic,"First Owner",14,2999,174.57,380,7,"Isuzu MUX 2WD",Average,"Between 10k and 100k"
Jeep,2019,1450000,22000,Petrol,Dealer,Automatic,"First Owner",16,1368,160,250,5,"Jeep Compass 1.4 Limited",Average,"Between 10k and 100k"
Jeep,2019,1450000,22000,Petrol,Dealer,Automatic,"First Owner",16,1368,160,250,5,"Jeep Compass 1.4 Limited",Average,"Between 10k and 100k"
Jeep,2019,2100000,5000,Petrol,Individual,Automatic,"First Owner",16,1368,160.77,250,5,"Jeep Compass 1.4 Limited Plus BSIV",Average,"Less than 10k"
Jeep,2019,2100000,5000,Petrol,Individual,Automatic,"First Owner",16,1368,160.77,250,5,"Jeep Compass 1.4 Limited Plus BSIV",Average,"Less than 10k"
Jeep,2019,1520000,10000,Petrol,Individual,Manual,"First Owner",16,1368,160,250,5,"Jeep Compass 1.4 Sport",Average,"Between 10k and 100k"
Jeep,2019,2150000,25000,Diesel,Dealer,Manual,"First Owner",16,1956,170.63,350,5,"Jeep Compass 2.0 Limited Plus 4X4",Average,"Between 10k and 100k"
Jeep,2019,1850000,14000,Diesel,Individual,Manual,"First Owner",17,1956,170,350,5,"Jeep Compass 2.0 Longitude Option BSIV",Average,"Between 10k and 100k"
Kia,2019,643000,10000,Diesel,Individual,Manual,"First Owner",21,1493,113.4,250,5,"Kia Seltos HTE D",High,"Between 10k and 100k"
Kia,2019,1575000,20000,Diesel,Individual,Automatic,"First Owner",18,1493,113.4,250,5,"Kia Seltos HTX Plus AT D",Average,"Between 10k and 100k"
Land,2019,4500000,21000,Diesel,Dealer,Automatic,"First Owner",13,1999,148.31,382,7,"Land Rover Discovery Sport TD4 SE",Average,"Between 10k and 100k"
Land,2019,4500000,21000,Diesel,Dealer,Automatic,"First Owner",13,1999,148.31,382,7,"Land Rover Discovery Sport TD4 SE",Average,"Between 10k and 100k"
Land,2019,4500000,21000,Diesel,Dealer,Automatic,"First Owner",13,1999,148.31,382,7,"Land Rover Discovery Sport TD4 SE",Average,"Between 10k and 100k"
Land,2019,4500000,21000,Diesel,Dealer,Automatic,"First Owner",13,1999,148.31,382,7,"Land Rover Discovery Sport TD4 SE",Average,"Between 10k and 100k"
